136.186.229.138.21 > 136.186.229.139.51688,1159861543.360978,0
136.186.229.138.21 > 136.186.229.139.51688,1159861543.370662,66
136.186.229.138.21 > 136.186.229.139.51688,1159861543.423668,29
136.186.229.138.21 > 136.186.229.139.51688,1159861545.112405,0
136.186.229.138.21 > 136.186.229.139.51688,1159861545.112465,37
136.186.229.138.21 > 136.186.229.139.51688,1159861545.112513,0
136.186.229.138.21 > 136.186.229.139.51050,1159861554.177123,0
136.186.229.138.21 > 136.186.229.139.51050,1159861554.191830,66
136.186.229.138.21 > 136.186.229.139.51050,1159861554.804276,37
136.186.229.138.21 > 136.186.229.139.51050,1159861558.994083,30
136.186.229.138.21 > 136.186.229.139.51050,1159861559.054499,39
136.186.229.138.21 > 136.186.229.139.51050,1159861559.055045,48
136.186.229.138.21 > 136.186.229.139.51050,1159861559.055499,20
136.186.229.138.21 > 136.186.229.139.51050,1159861559.056021,53
136.186.229.138.21 > 136.186.229.139.51050,1159861559.056951,44
136.186.229.138.21 > 136.186.229.139.51050,1159861559.068327,44
136.186.229.138.21 > 136.186.229.139.51050,1159861559.068940,44
136.186.229.138.21 > 136.186.229.139.51050,1159861559.069541,53
136.186.229.138.21 > 136.186.229.139.51050,1159861559.070349,29
136.186.229.138.21 > 136.186.229.139.51050,1159861559.074811,56
136.186.229.138.21 > 136.186.229.139.51050,1159861559.074973,24
136.186.229.138.21 > 136.186.229.139.51050,1159861565.408287,52
136.186.229.138.21 > 136.186.229.139.51050,1159861565.528015,10
136.186.229.138.21 > 136.186.229.139.51050,1159861565.531398,20
136.186.229.138.21 > 136.186.229.139.51050,1159861565.532300,107
136.186.229.138.21 > 136.186.229.139.51050,1159861565.532433,24
136.186.229.138.21 > 136.186.229.139.51050,1159861570.642457,0
136.186.229.138.21 > 136.186.229.139.51050,1159861570.642515,37
136.186.229.138.21 > 136.186.229.139.51050,1159861570.642615,0
